11:32:42.644 -> 233.50 V; 0.00 A; 0.00 W; 13.00 Wh; 
11:32:45.190 -> 233.80 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:32:47.654 -> 233.80 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:32:50.163 -> 233.70 V; 0.05 A; 6.00 W; 13.00 Wh; 
11:32:52.645 -> 233.70 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:32:55.155 -> 233.70 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:32:57.666 -> 234.00 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:00.150 -> 234.00 V; 0.05 A; 6.00 W; 13.00 Wh; 
11:33:02.663 -> 234.00 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:05.176 -> 234.00 V; 0.00 A; 5.00 W; 13.00 Wh; 
11:33:07.650 -> 234.00 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:10.167 -> 234.10 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:12.643 -> 234.10 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:15.152 -> 234.10 V; 0.05 A; 6.00 W; 13.00 Wh; 
11:33:17.659 -> 234.00 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:20.175 -> 234.00 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:22.653 -> 234.30 V; 0.05 A; 6.00 W; 13.00 Wh; 
11:33:25.167 -> 234.20 V; 0.05 A; 6.00 W; 13.00 Wh; 
11:33:27.647 -> 234.20 V; 0.00 A; 2.00 W; 13.00 Wh; 
11:33:30.157 -> 234.10 V; 0.00 A; 5.00 W; 13.00 Wh; 
11:33:32.671 -> 234.10 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:35.154 -> 234.20 V; 0.00 A; 5.00 W; 13.00 Wh; 
11:33:37.665 -> 234.00 V; 0.00 A; 5.00 W; 13.00 Wh; 
11:33:40.183 -> 234.00 V; 0.05 A; 5.00 W; 13.00 Wh; 
11:33:42.653 -> 234.20 V; 0.05 A; 6.00 W; 13.00 Wh; 
